epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.89,1.24226,1.58444,1.12775,0.74225,0.7344,0.69624,0.42381,1.29903,1.8314,1.19186,0.00066365,0.00066365,0.00066365
2,74.9856,1.25787,0.86753,1.14341,0.92207,0.8625,0.91056,0.58557,1.25709,0.75115,1.16182,0.00128642,0.00128642,0.00128642
3,108.36,1.23688,0.74955,1.12874,0.94414,0.84784,0.91834,0.5874,1.23946,0.88662,1.1728,0.00186518,0.00186518,0.00186518
4,140.649,1.23526,0.72498,1.13468,0.94843,0.87335,0.93242,0.60493,1.23541,0.68008,1.1381,0.001802,0.001802,0.001802
5,173.835,1.19645,0.67857,1.11502,0.96747,0.88079,0.93324,0.62741,1.17513,0.62893,1.11822,0.001736,0.001736,0.001736
6,205.726,1.18962,0.64752,1.11013,0.9473,0.90387,0.94466,0.62437,1.18247,0.59696,1.12669,0.00167,0.00167,0.00167
7,240.34,1.16435,0.61168,1.0996,0.95649,0.91137,0.94794,0.63578,1.17573,0.57213,1.10935,0.001604,0.001604,0.001604
8,276.511,1.15868,0.60394,1.09727,0.95783,0.90661,0.94005,0.63656,1.16772,0.56591,1.1138,0.001538,0.001538,0.001538
9,312.289,1.15058,0.58852,1.087,0.96838,0.918,0.95081,0.64954,1.13889,0.53695,1.09244,0.001472,0.001472,0.001472
10,345.275,1.13447,0.56639,1.08148,0.9648,0.91253,0.95266,0.6429,1.13873,0.53914,1.0978,0.001406,0.001406,0.001406
11,376.838,1.12652,0.56214,1.07869,0.97929,0.92027,0.95523,0.64941,1.14116,0.52256,1.09446,0.00134,0.00134,0.00134
12,408.189,1.11934,0.5494,1.07565,0.97399,0.92125,0.95562,0.66066,1.10791,0.48346,1.07231,0.001274,0.001274,0.001274
13,439.453,1.11158,0.53665,1.07021,0.98232,0.92665,0.96524,0.66461,1.1121,0.47749,1.06532,0.001208,0.001208,0.001208
14,471.792,1.09861,0.52704,1.0644,0.97528,0.91659,0.95531,0.65281,1.12698,0.49429,1.08317,0.001142,0.001142,0.001142
15,503.198,1.09279,0.51317,1.06281,0.98876,0.92157,0.96043,0.66732,1.10098,0.47222,1.07009,0.001076,0.001076,0.001076
16,534.474,1.08602,0.51286,1.0585,0.97411,0.92802,0.96247,0.66969,1.09478,0.4589,1.0629,0.00101,0.00101,0.00101
17,566.379,1.07181,0.50316,1.05413,0.98194,0.92802,0.96589,0.6701,1.10492,0.4459,1.06153,0.000944,0.000944,0.000944
18,597.2,1.07289,0.49275,1.05028,0.98086,0.93405,0.96029,0.66979,1.09369,0.46317,1.05833,0.000878,0.000878,0.000878
19,629.398,1.05517,0.4895,1.04533,0.98306,0.92517,0.95903,0.67299,1.08038,0.44717,1.05593,0.000812,0.000812,0.000812
20,660.206,1.05607,0.47912,1.04208,0.97817,0.93986,0.96864,0.67937,1.07996,0.43473,1.04393,0.000746,0.000746,0.000746
21,710.103,1.05618,0.44659,1.06157,0.98298,0.93531,0.96538,0.67315,1.08397,0.44837,1.05625,0.00068,0.00068,0.00068
22,741.682,1.04945,0.43858,1.05733,0.97615,0.93576,0.96094,0.67371,1.07797,0.44282,1.04922,0.000614,0.000614,0.000614
23,771.925,1.03691,0.42626,1.04928,0.98563,0.93751,0.96777,0.67895,1.07737,0.43516,1.05052,0.000548,0.000548,0.000548
24,803.159,1.02952,0.41754,1.04448,0.98422,0.93784,0.96708,0.68091,1.07129,0.42865,1.04761,0.000482,0.000482,0.000482
25,834.065,1.01894,0.41172,1.03964,0.98939,0.93468,0.96753,0.68287,1.06904,0.42397,1.04689,0.000416,0.000416,0.000416
26,865.287,1.00691,0.39947,1.03318,0.97947,0.94533,0.96624,0.6846,1.06047,0.41086,1.04344,0.00035,0.00035,0.00035
27,896.151,1.00268,0.39263,1.03538,0.98382,0.94156,0.96225,0.68348,1.05495,0.41496,1.04102,0.000284,0.000284,0.000284
28,928.096,0.98691,0.3867,1.028,0.9899,0.93795,0.96793,0.68516,1.05595,0.40289,1.03583,0.000218,0.000218,0.000218
29,959.387,0.97709,0.37866,1.02011,0.98346,0.9426,0.96257,0.68834,1.05305,0.40331,1.03649,0.000152,0.000152,0.000152
30,990.642,0.96759,0.37098,1.01476,0.98407,0.94351,0.96307,0.68884,1.05313,0.39878,1.03355,8.6e-05,8.6e-05,8.6e-05
